vin_txt	year_int	make_txt	model_txt	color_txt	cost_num
WBAVC53528A580503	2005	Chevrolet	Cavalier	Red	35893.56
JH4DC43541S964645	2007	Aston Martin	Vantage	Aquamarine	34664.47
5XYKT3A14CG329548	2005	Ford	Thunderbird	Turquoise	36992.66
SCBBR9ZA3AC668411	1997	Ford	Crown Victoria	Teal	27973.18
WBA3V5C52EJ924392	2007	Mitsubishi	Outlander	Aquamarine	32411.35
SAJWA4EC0FM642030	1990	Mitsubishi	Galant	Orange	39030.33
3G5DA03E35S593981	1996	Chrysler	Sebring	Violet	33413.02
JTDJTUD35ED159653	2004	Mercedes-Benz	SLK-Class	Orange	37123.01
5UXFG2C54BL394403	2009	Toyota	Yaris	Violet	32155.04
JN8CS1MW8EM405667	2005	Lexus	SC	Green	33692.52
5FRYD4H66FB225636	2010	Ferrari	599 GTB Fiorano	Red	32435.78
KNADH4A3XA6495314	1995	Buick	Riviera	Mauv	35698.73
1FMJK1F59BE071641	2005	Jaguar	S-Type	Mauv	36265.23
WAUYGBFC1CN136251	2009	Toyota	Yaris	Pink	33001.01
1HGCP2E77BA075464	2003	GMC	Safari	Teal	29343.96
1GYUKEEJ5AR074936	2006	Maybach	62	Puce	25359.28
WAUAH74F07N431260	2007	Land Rover	LR3	Fuscia	25381.18
WA1LKBFP3AA175887	2009	MINI	Cooper	Khaki	38536.47
1GTN1UEH2FZ116149	2005	Volkswagen	Passat	Fuscia	37443.54
WAUJC68E03A148109	1998	Suzuki	Esteem	Fuscia	25209.63
WAUAF78E35A004778	2008	BMW	X3	Teal	39414.15
WAUGL98E38A661132	1985	Plymouth	Voyager	Goldenrod	37161.03
1GD12ZCG5CF534264	1993	Chevrolet	Corvette	Indigo	27220.05
SCBBB7ZH2FC122373	2003	Mercedes-Benz	S-Class	Crimson	33599.53
3C4PDCEG2CT390956	2004	Mercedes-Benz	SLK-Class	Maroon	33079.17
SAJWA4EC2EM210313	1997	Oldsmobile	LSS	Goldenrod	28774.86
1FBSS3BL1AD006784	1999	Acura	RL	Aquamarine	39787.91
2C3CK3CV8AH126317	1993	Hyundai	Elantra	Teal	38488.88
JTHBL1EF4A5364492	2007	Audi	A8	Maroon	34436.40
1FTEX1CM2DF171094	1970	Chevrolet	Corvette	Yellow	35407.77
3GYFNDE35FS544009	2000	Lotus	Esprit	Orange	37910.40
4T1BF1FKXCU439091	2004	Porsche	Cayenne	Puce	27605.60
WBAVC73537A472031	1992	Volvo	740	Goldenrod	25342.75
WVGEP9BP8FD708302	1986	Ford	Bronco	Violet	30138.36
1N6AA0CJ0EN030046	1996	Volkswagen	GTI	Maroon	38761.32
WBAGN63463D168964	1989	Lexus	ES	Fuscia	26912.94
WVWAP7AN4EE684080	2011	Dodge	Caravan	Crimson	35077.52
WAUDF48H97A776145	1984	Mercedes-Benz	E-Class	Teal	38224.68
JN1AZ4EH8FM804938	1989	Ford	F-Series	Khaki	36311.01
WBAHN03587D763301	2006	Ford	E-350 Super Duty Van	Aquamarine	27172.92
1FMJK1HT0FE811031	2006	Ford	Explorer	Khaki	39411.89
WAUVC58E63A723938	1999	Acura	SLX	Teal	35701.22
SAJWA4DB4EL380025	2006	Volkswagen	Phaeton	Yellow	34590.48
WVWBB7AJ0DW933886	1985	Buick	Regal	Orange	38779.29
1FTEX1C89AF968084	1996	Chrysler	Cirrus	Maroon	29587.29
WBAPH5G56BN267670	2012	Volvo	XC70	Aquamarine	28165.69
JN8AE2KP1C9307340	2007	Ford	Explorer	Fuscia	38043.26
WAUGL68E65A471948	2011	Chevrolet	Cruze	Pink	31663.97
3VW217AU3FM871994	2004	Cadillac	Escalade EXT	Mauv	25453.64
WAUWGAFC7EN083138	2005	Kia	Sedona	Green	32166.81
1N6AD0CU2DN960336	2004	BMW	745	Khaki	37014.14
4A4AP3AU3EE118047	1981	Dodge	Aries	Goldenrod	35240.61
WUAGL78E36A705623	2002	Mazda	Millenia	Green	33579.32
JN1CV6AP4BM349321	2005	Volvo	XC70	Indigo	38471.84
1N6AD0CU9BC050210	2004	Chrysler	300M	Blue	26078.71
3VWF17AT7FM703526	2003	Pontiac	Sunfire	Purple	29365.11
WA1LKBFP6AA458543	1968	Pontiac	Firebird	Blue	34920.08
5N1BA0NC6FN254828	1995	Toyota	Camry	Violet	32642.21
19XFA1E86BE157635	2004	Hummer	H1	Green	28575.69
3D73Y3HL8BG311685	1995	Mazda	MPV	Purple	38720.95
WBAVA37537N793424	2012	BMW	X6 M	Puce	36594.68
3VW467AT0DM650741	1999	Dodge	Ram 2500 Club	Red	31058.62
1N4AB7AP9DN198028	2006	Jeep	Liberty	Turquoise	33244.26
3N1AB6AP6AL273738	1996	GMC	2500 Club Coupe	Fuscia	36956.86
5FRYD4H24FB315137	2010	Mercury	Milan	Pink	28948.97
2G4GN5EX3F9506435	2007	Nissan	Murano	Yellow	25344.08
1FTWW3B57AE145590	1999	Chrysler	300	Blue	25884.49
JA32U1FU0AU195068	1995	Chevrolet	G-Series G30	Violet	30557.76
SALFR2BN4CH912259	2005	Nissan	Xterra	Purple	28196.32
1FTWW3DY1AE825928	1959	Chevrolet	Corvette	Aquamarine	29460.58
WAU3FAFR9BA969474	1995	Geo	Tracker	Yellow	32121.14
WBAKN9C53ED502360	1994	Chevrolet	Cavalier	Puce	29446.71
WBA3F9C56DF333536	2000	Subaru	Forester	Indigo	27597.30
WAUDH98E36A347305	2000	Chevrolet	Express 3500	Crimson	36790.54
WBA3A5C54EF137782	2009	Dodge	Caravan	Turquoise	34196.17
SCFFDABM0DG165193	2012	Scion	tC	Green	29876.34
KNAFT4A25A5165035	2011	Audi	S4	Purple	35570.89
5UXKR0C54F0607872	2012	GMC	Yukon XL 1500	Red	36453.93
KL4CJESB3FB719000	2005	GMC	Envoy XUV	Goldenrod	39098.97
5GAKVCKD9FJ056650	2010	Pontiac	G3	Aquamarine	36184.05
1G4HP52K33U018950	1985	Toyota	MR2	Crimson	38944.03
JN8AF5MR8ET325157	1999	Chevrolet	Blazer	Blue	28000.82
SCBCP7ZAXAC247090	2008	Infiniti	G37	Purple	39906.27
JN8AS5MT1FW930211	2005	BMW	325	Purple	34887.57
JH4CU266X9C025507	2010	Volvo	XC90	Yellow	39178.16
1GD020CG9DZ594555	2005	Chevrolet	Silverado 3500	Turquoise	35522.75
1C4NJPBA5FD256038	1993	Mercedes-Benz	190E	Blue	30321.18
1GYEC63T52R439399	2008	Land Rover	Freelander	Pink	30846.79
5GALRBED2AJ910868	1996	Ford	F350	Orange	32672.54
WAUJC58E65A619127	1998	GMC	2500 Club Coupe	Crimson	26797.34
2HNYD28738H143580	1993	Buick	Park Avenue	Mauv	30459.81
2C3CK5CV2AH389110	1992	Mercedes-Benz	400E	Crimson	28297.44
YV1902MD3F1189918	2002	Ford	ZX2	Teal	31958.14
WVWAW7AH6BV456414	2005	Mercury	Mountaineer	Crimson	31745.38
W04GV5EVXB1046508	1993	Dodge	Ram Wagon B350	Teal	32002.29
JTDKTUD35ED090886	1995	Mitsubishi	Chariot	Red	27149.38
2B3CL3CG6BH915496	2011	Porsche	Cayenne	Blue	29142.66
3C6LD5BT9CG889460	1997	Chrysler	Cirrus	Pink	29206.65
SCFBB03B87G228914	1990	Subaru	Justy	Violet	36844.00
WBA3C1C54FK223847	2006	Mazda	MPV	Goldenrod	31391.33
1FTMF1CW7AK863497	2009	Dodge	Challenger	Red	31479.81
3VW217AU7FM269020	2011	Audi	TT	Red	36448.13
SALFR2BN9AH148325	2004	Nissan	Pathfinder Armada	Crimson	35040.83
KMHTC6AD1FU454540	2012	Dodge	Durango	Pink	37498.81
1G6KD57Y58U083289	1994	Mazda	323	Maroon	33833.10
WA1YD54B24N295198	2003	Isuzu	Rodeo	Violet	31365.07
1D4PU2GK2BW747804	2013	Scion	tC	Fuscia	27110.76
WBAUU3C5XAA624623	2000	Lexus	RX	Pink	27699.58
KL4CJESB7DB855126	2012	Tesla	Model S	Turquoise	39940.40
SCFFDABE3CG668675	2005	GMC	Envoy	Fuscia	30594.63
4T3BA3BB7CU736536	2006	Nissan	Frontier	Yellow	26568.75
SCBFR7ZA3CC562517	2007	Infiniti	G	Orange	29978.37
19UUB3F55FA483778	2005	Suzuki	Grand Vitara	Violet	37986.93
KL4CJHSB4EB854079	2005	GMC	Yukon	Goldenrod	25079.72
1G4PP5SKXF4105728	1995	Acura	TL	Red	39222.23
JM3TB2BA4C0470665	2002	Volkswagen	Eurovan	Pink	26067.68
1FTMF1EWXAF446784	2002	Saturn	L-Series	Violet	26279.07
2G4GR5GX3F9550808	2010	Chevrolet	Suburban	Pink	36993.42
1FTFW1E83AF585908	2003	Chrysler	Voyager	Pink	30098.97
3GYFNEEY0BS102184	1992	Ford	Ranger	Pink	39548.41
3N1CN7AP5EK080336	1992	Chevrolet	Cavalier	Yellow	25559.80
WVWED7AJ8AW163312	2010	Volvo	S60	Blue	31643.51
1GYS3KEF9DR584709	2008	Lincoln	Mark LT	Indigo	36588.46
3C4PDDGG6ET837374	1968	Chevrolet	Corvette	Green	39913.08
1FTSX2B53AE401908	1998	Chevrolet	Tracker	Puce	25653.54
1G6DK5EG7A0427498	2008	Porsche	Cayenne	Turquoise	30417.75
1FMJK1FT8FE306499	1999	Chevrolet	Express 2500	Orange	31047.07
JTHBE1BL1FA162180	2009	Lexus	LX	Blue	34325.85
WAUGGAFR3EA709476	2005	Buick	Park Avenue	Crimson	26590.65
WAUPN94E59N726573	2005	Ford	F350	Indigo	32409.19
WAUAF78E98A846514	2012	Hyundai	Equus	Yellow	27648.95
1FTWW3B59AE462285	2003	Honda	Civic	Fuscia	28038.96
3C3CFFDR5ET266264	2009	Chevrolet	Express 2500	Purple	33232.63
SCBZB25E82C697410	2001	Hyundai	Tiburon	Mauv	36129.57
JN1AZ4EH1EM008014	2011	Maybach	57	Mauv	36166.70
JA32X2HU1CU042275	2000	Acura	Integra	Red	34231.34
1C3BCBGGXCN772323	1985	Saab	900	Aquamarine	33207.55
WAUMGBFL7CA181880	1994	Porsche	968	Red	26021.54
WA1AM94L89D862898	2012	GMC	Sierra 1500	Yellow	39116.49
YV1952AS1E1330018	2010	Mazda	Tribute	Violet	39893.66
1G6KD57947U208631	2008	Mitsubishi	Galant	Pink	32416.01
1N6AD0CU2EN240309	1986	Mitsubishi	Truck	Aquamarine	34400.45
4T1BF1FK5EU682780	2008	MINI	Cooper	Maroon	31297.95
KL4CJASB3FB814049	2000	Dodge	Ram 1500	Yellow	27475.30
3N1CE2CP8FL666394	2000	Mazda	B-Series Plus	Fuscia	35909.90
JN1AZ4EH9EM828955	2005	Pontiac	Sunfire	Crimson	30137.31
WP0AB2A93AS998979	2010	Aston Martin	DB9	Green	29564.46
3D73M3CL0BG068182	2012	Nissan	Maxima	Red	33899.44
1D4PU6GX0BW594536	1996	Chevrolet	Blazer	Violet	34759.98
1G6AA5RA8D0974294	1968	Chevrolet	Corvette	Maroon	28695.87
3D73M4CL4AG401391	2007	Porsche	Boxster	Goldenrod	28875.43
1N6AD0CU9DN540055	1993	Volkswagen	Fox	Teal	31015.83
1G6YV36A495869967	1985	Mitsubishi	Tredia	Orange	29590.81
JH4NA21671T728186	2009	Mercury	Mountaineer	Indigo	26813.86
WAUKFBFL3EA153443	1988	Mazda	MX-6	Puce	38729.80
WDDHF8JBXDA392653	2004	Infiniti	I	Violet	33788.76
SCBDC47L38C723144	2010	Dodge	Ram	Yellow	34484.57
1C3CCBHG0CN498312	1992	Toyota	Supra	Yellow	33458.42
KMHTC6AD2EU995823	1993	Plymouth	Colt	Khaki	28245.16
WAUEFAFL2DA017486	2009	Hyundai	Sonata	Red	28860.98
2C3CDYCJ2DH578840	2008	Dodge	Ram 1500	Crimson	27771.46
2G4GS5EC2B9270862	2008	GMC	Sierra	Green	35134.69
4F2CY0C70AK433550	2006	Hyundai	Sonata	Pink	36776.43
WAUNF68P16A021626	2012	Fiat	Nuova 500	Khaki	27681.55
1G4GC5ER3DF915109	2008	Honda	Accord	Green	39963.77
KNAFT4A24C5169645	1994	BMW	3 Series	Turquoise	34812.64
JTDKDTB38F1631751	2006	GMC	Sierra Hybrid	Aquamarine	28436.33
WAUGL98E76A795929	2006	Volvo	C70	Turquoise	26406.65
WDDGF5EB5AR475831	2001	Isuzu	VehiCROSS	Crimson	32958.19
JHMGE8G39CC181616	2002	Oldsmobile	Aurora	Yellow	37954.91
WBAVB17516N074379	2007	Suzuki	XL-7	Maroon	29502.85
WAUDH98E76A535129	2005	Subaru	Legacy	Teal	32477.46
JH4DC53863C084933	2005	Mercedes-Benz	G-Class	Blue	33985.38
WBA6B2C51FG178939	2009	Dodge	Dakota	Purple	29757.44
WBANB33544B286936	2005	GMC	Savana 1500	Pink	39103.67
WAUGL78E76A722225	1985	Plymouth	Voyager	Pink	38881.03
5GALVBED7AJ828825	1988	Pontiac	Turbo Firefly	Teal	25714.65
5FRYD4H64GB322576	1992	Saturn	S-Series	Purple	26648.46
WAUVC68E85A267451	2005	Lamborghini	Murciélago	Aquamarine	31387.02
WBASN4C53AC041339	2009	Honda	Accord	Aquamarine	33031.76
JTMHY7AJ0B5891621	2008	Nissan	Versa	Crimson	37147.43
3VW467AT5DM945964	1997	Mitsubishi	3000GT	Green	26938.82
3VW217AU5FM801722	2005	Toyota	Prius	Indigo	34546.26
WBAVM5C51FV317731	1994	GMC	2500	Crimson	27249.70
5FRYD4H40GB783952	2012	Ford	Edge	Orange	28759.04
YV4902NC0F1271470	1983	Ford	Thunderbird	Crimson	31411.89
2G4WD552871505560	1996	Nissan	300ZX	Violet	37322.81
1FTFW1E81AF976149	2005	Land Rover	Freelander	Blue	26933.80
JM1CR2W38A0122252	2010	Lincoln	MKX	Pink	35702.85
TRUVD38J091137915	2007	Chevrolet	Equinox	Puce	25457.96
1G4PP5SK8D4082429	1993	Mercedes-Benz	500E	Fuscia	27425.11
5FRYD3H23FB623555	2006	Subaru	Forester	Fuscia	39554.97
5TDBM5G18BS779706	1984	Mercury	Grand Marquis	Blue	34469.67
WVGFG9BP4CD287274	1984	Pontiac	Firebird	Green	38469.99
JTDZN3EU0FJ764584	2012	Volvo	C30	Yellow	37383.60
1LNHL9DR6CG353745	2012	Lamborghini	Aventador	Orange	26709.87
WAUNF68P66A424517	1988	Ford	Tempo	Blue	32129.10
WBAKB0C52BC269836	1999	Dodge	Stratus	Red	38577.81
5LMJJ3H56DE480033	1994	Toyota	Land Cruiser	Mauv	28499.85
JTHBB1BA3B2100064	2005	Toyota	Prius	Fuscia	26398.91
3C6TD4HT1CG797874	2005	Mazda	Mazda3	Fuscia	27832.66
3D73Y3CL8BG984578	2007	Mercury	Grand Marquis	Purple	27758.09
19XFA1E64AE670234	2012	Audi	A8	Fuscia	25856.84
WVGDF9BP4ED572649	2007	Honda	S2000	Aquamarine	37127.23
2HNYD2H4XCH687198	2007	MINI	Cooper	Aquamarine	38697.46
JM1CW2BL6C0161617	1986	Pontiac	Firebird	Yellow	39480.53
1C6RD6GP7CS563676	2000	GMC	Yukon XL 2500	Orange	26923.43
WA1DGAFE5BD266383	1999	Chevrolet	Corvette	Puce	26248.11
SCFEBBAK6DG098056	1989	Ford	Courier	Green	30753.31
WP0AB2A96AS930062	1994	Chevrolet	Camaro	Aquamarine	28671.49
SCFAD02A95G659242	1995	Toyota	Avalon	Aquamarine	32655.62
3C4PDCEG9DT090574	2011	Hyundai	Tucson	Indigo	29273.96
1GYEC63T52R623113	2002	Chevrolet	Venture	Maroon	31792.11
1G4HR54K214708600	2002	Chrysler	Sebring	Violet	27666.12
TRUUT28N611351128	2010	GMC	Acadia	Puce	31661.59
WAUAF48H59K619471	2010	Bentley	Continental	Mauv	33459.14
WAUKF98E68A915658	2005	Volvo	XC70	Blue	36730.55
1GTN1TEH5FZ112722	2005	Lexus	RX	Green	32653.54
5N1AR1NB7CC198939	1989	Maserati	Karif	Puce	33965.24
WAUCFAFH7BN025561	1984	Ford	Ranger	Blue	39108.07
2B3CK5CTXAH251911	2002	Chevrolet	Corvette	Yellow	33519.11
WBADX7C53DJ108784	2007	Subaru	Tribeca	Yellow	35594.12
3C3CFFER0FT522150	2009	Mercedes-Benz	R-Class	Turquoise	36320.99
WAUMF78P66A339890	1992	GMC	Vandura 1500	Mauv	25922.28
3VW4T7AT0EM527273	2000	Chrysler	Cirrus	Aquamarine	39254.41
1D7RV1CP1BS798884	2006	Maserati	Quattroporte	Teal	27643.95
WBASP4C52AC205755	2006	Cadillac	CTS-V	Pink	36963.82
WAUDH98E16A396213	2002	Volvo	V40	Indigo	30581.58
5FNYF3H23EB415816	2007	Kia	Sportage	Green	34072.76
WAUEFAFL5BN606828	2006	Hummer	H1	Turquoise	31335.88
WAUBH78E57A876736	2001	Chevrolet	Monte Carlo	Khaki	29512.53
3N1BC1AP0AL231067	1966	Pontiac	GTO	Fuscia	30186.55
WBAKE5C52CE231050	2007	Chrysler	Aspen	Puce	33715.79
WAUVKAFR1AA289183	2002	Acura	NSX	Red	28516.97
3VWJX7AJ5AM412698	1994	Ford	F-Series	Green	35211.69
WVGAV3AX7DW624685	2007	Pontiac	Torrent	Maroon	28915.24
KMHCM3AC7AU612181	1957	BMW	600	Red	29772.10
JN1CV6FE9FM000149	2000	Audi	TT	Goldenrod	38463.73
1FTMF1EW0AK672548	1997	Ford	Mustang	Yellow	26456.71
YV1672MC8DJ660058	1988	Mercedes-Benz	E-Class	Pink	25206.47
KL4CJBSBXFB635996	2000	Isuzu	Rodeo	Yellow	36758.10
5N1AA0NCXCN673417	2002	Hyundai	Sonata	Pink	33359.40
WVGAV7AX3BW928200	2006	Honda	Pilot	Orange	32534.15
1N4AL2AP2BN297223	2003	Chevrolet	Silverado 3500	Red	35787.36
WAUDFAFL9FN866067	1992	Toyota	Tercel	Goldenrod	31698.64
5YMKT6C58F0688064	2008	Mercedes-Benz	SL-Class	Violet	33216.81
WVWGD7AJ1EW918377	1992	Dodge	Viper	Fuscia	27857.70
YV126MEB6F1287074	1967	Pontiac	LeMans	Crimson	29398.82
TRUTX28N211106553	2008	Kia	Sorento	Teal	27448.20
WBA3G7C59EF088959	2005	Dodge	Grand Caravan	Puce	31962.28
WAUAH94F87N264805	1993	Chevrolet	S10 Blazer	Aquamarine	34992.68
5TFBW5F15DX505727	2006	Mercury	Grand Marquis	Khaki	30946.21
SAJWA1CB3CL340967	1986	Volkswagen	Passat	Pink	28964.16
YV126MFDXF1296764	2010	Volkswagen	Golf	Red	35602.85
3N1AB7AP9FL003531	1995	Cadillac	Fleetwood	Teal	33283.97
WAUNF98P77A400763	2005	Lotus	Elise	Puce	34175.39
WDDEJ7KB0CA801106	2000	Acura	TL	Violet	29436.71
WBA4B1C53FD799702	1999	Chrysler	Town & Country	Puce	37340.35
3D7TT2HT8AG716856	1992	Volkswagen	Corrado	Turquoise	26246.94
2C3CDYCJ9EH194801	2000	Ford	Expedition	Green	39031.76
JH4CL95887C600988	2000	Ford	Ranger	Yellow	29841.27
1G4GF5G37DF327360	2004	Ford	F-Series	Turquoise	25243.07
5FNYF3H25AB794585	2004	Chrysler	Sebring	Pink	25137.53
WAU32AFD7FN531552	1997	BMW	7 Series	Crimson	37784.61
SCBLC31E71C340653	2005	Mercedes-Benz	C-Class	Fuscia	26703.05
WAUGL78E88A333998	1954	Chevrolet	Corvette	Goldenrod	30714.44
WAUDG74F26N937848	1997	Mitsubishi	Montero	Crimson	33432.80
5J8TB4H51GL025353	1992	Hyundai	Elantra	Fuscia	36185.07
SAJWA6BC7F8743350	1994	Chevrolet	2500	Puce	26678.23
1HGCR2E56EA614170	2009	Buick	Enclave	Goldenrod	29155.43
JTJBM7FX2D5172658	2003	Chevrolet	Cavalier	Puce	27531.64
2G61R5S31D9217201	2009	Volkswagen	Tiguan	Pink	25350.71
5YMGZ0C50CL374906	2010	BMW	X6 M	Orange	31357.89
WAUNF98P18A303608	2011	Chrysler	200	Indigo	39502.66
1GD21ZCG7DZ661489	2006	Dodge	Stratus	Turquoise	34352.86
3C3CFFHH6FT123794	2006	Mitsubishi	Eclipse	Puce	30427.89
1N6AA0CA7BN095102	2002	Chevrolet	Tahoe	Maroon	31876.76
WDDGF4HB0ER837382	1998	Ford	Explorer	Teal	36298.71
JTMHY7AJ4D4576071	2010	Maserati	Quattroporte	Crimson	30120.06
1FTEW1CM3BK011314	2000	Isuzu	Trooper	Red	29551.68
3N1AB7AP1FY892201	1989	Subaru	XT	Orange	26879.55
3GYFK62868G785037	2002	Chevrolet	Astro	Purple	30363.92
WA1YD64B54N194470	2000	Land Rover	Discovery	Blue	28145.14
19UUA9F26BA650168	2007	Hyundai	Entourage	Pink	31936.20
1G6DF8EG3A0261406	1991	Mercedes-Benz	W201	Teal	30306.13
WBAYP1C5XDD758998	1992	Mitsubishi	Truck	Purple	31124.73
1C6RD6PT5CS065697	1987	Saab	9000	Blue	25553.37
WAUVT68E45A576155	2011	Chevrolet	Volt	Violet	26583.75
WUAAU34289N180935	1997	Ford	Mustang	Crimson	37052.37
JN1CV6AR7FM375323	2012	Chevrolet	Volt	Violet	39368.04
WAUPEBFMXCA107266	2002	Chevrolet	Impala	Red	25790.63
JH4CU2F65DC917561	2005	Bentley	Arnage	Teal	36415.89
1N6AA0CC6FN630556	2011	GMC	Sierra 2500	Mauv	28194.73
WAUKFAFL3BA317862	2007	Kia	Carens	Pink	38642.84
1G4PN5SK9C4858992	2008	Porsche	Cayman	Fuscia	38135.50
WAUHGAFC7CN491418	1991	Mercedes-Benz	SL-Class	Blue	31388.64
1N4CL2APXAC564238	1997	Mercury	Mountaineer	Mauv	30506.26
3GYFNBE35FS028382	1995	Chevrolet	2500	Yellow	31742.99
JN1CV6FE4FM504947	2003	Chevrolet	Express 1500	Green	38275.77
WBALM7C52EE972689	2003	Nissan	Sentra	Crimson	39504.76
1D7RE3BK6AS486883	1990	Mitsubishi	GTO	Orange	35632.97
2D4RN3DG5BR128019	2009	Nissan	Sentra	Yellow	29199.43
1GYEK63N24R836396	2004	BMW	7 Series	Orange	28538.71
SALFR2BG9EH930020	1991	Mazda	929	Indigo	33212.64
WA1EV94L28D189734	2001	Mercury	Sable	Teal	29851.85
TRUB3AFK8D1446367	1996	Ford	Econoline E250	Green	36761.03
1D7RV1CT9BS962704	2009	Ford	F150	Orange	34195.74
1GYUCEEJ5AR003569	1995	Audi	90	Orange	36773.60
